Action,Prepaid,Debit,Credit,Ordered,Inactive,Active,Restricted,Blocked,Expired,Closed
ACTION1,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO
ACTION2,YES,YES,YES,NO,YES,NO,NO,NO,NO,NO
ACTION3,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
ACTION4,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
ACTION5,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES
ACTION6,YES,YES,YES,PIN,PIN,PIN,NO,PIN,NO,NO
ACTION7,YES,YES,YES,NOPIN,NOPIN,NOPIN,NO,PIN,NO,NO
ACTION8,YES,YES,YES,YES,YES,YES,NO,YES,NO,NO
ACTION9,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES
ACTION10,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO
ACTION11,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO
ACTION12,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO
ACTION13,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO